CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.216  |  1.139  |  0.216  |  0.216  
  0.216  |  1.141  |  0.216  |  0.216  
  0.200  |  1.145  |  0.208  |  0.192  
  0.216  |  1.148  |  0.216  |  0.216  
  0.216  |  1.150  |  0.216  |  0.216  
  0.200  |  1.152  |  0.208  |  0.192  
  0.216  |  1.154  |  0.216  |  0.216  
  0.231  |  1.156  |  0.231  |  0.231  
  0.200  |  1.158  |  0.208  |  0.192  
  0.216  |  1.160  |  0.223  |  0.208  
  0.216  |  1.162  |  0.208  |  0.223  
  0.200  |  1.164  |  0.208  |  0.192  
  0.216  |  1.166  |  0.223  |  0.208  
  0.216  |  1.169  |  0.216  |  0.216  
  0.216  |  1.171  |  0.216  |  0.216  
  0.216  |  1.173  |  0.216  |  0.216  
  0.200  |  1.175  |  0.208  |  0.192  
  0.216  |  1.177  |  0.208  |  0.223  
  0.216  |  1.179  |  0.223  |  0.208  
